malicious_votes,harmless_votes,malicious_ratio,shodan_blocked,dns_record_count,total_open_ports,high_risk_country,domain_age_days,has_wildcard_dns,nameserver_count,has_mx,otx_pulse_count,urlhaus_listed,domain_age_known,label,indicator
0,56,0.0,0,10,0,0,3650,0,4,1,0,0,1,0,dangerfield.co.nz
0,56,0.0,0,6,0,0,3650,0,2,0,0,0,1,0,demopolistimes.com
0,56,0.0,0,1,0,0,3650,0,2,0,0,0,1,0,kcurl.cn
0,53,0.0,0,0,0,0,3650,0,4,1,0,0,1,0,ratior.com
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,weeklyblitz.net
0,56,0.0,0,10,0,0,0,0,2,1,0,0,0,0,shine.bg
0,56,0.0,0,3,0,0,3650,0,2,1,0,0,1,0,univ-larochelle.fr
0,57,0.0,0,10,0,0,3650,1,4,1,0,0,1,0,aof.dk
0,57,0.0,0,3,0,0,0,0,2,1,0,0,0,0,medios.gt
0,56,0.0,0,4,0,0,3650,0,3,1,0,0,1,0,mltgroup.com
0,57,0.0,0,10,0,0,3650,0,4,1,0,0,1,0,samsoe.com
0,55,0.0,0,10,0,0,2422,1,2,0,0,0,1,0,pelis24.blog
0,56,0.0,0,0,0,0,3650,0,4,1,0,0,1,0,murphx.net
0,56,0.0,0,10,0,0,1096,0,2,1,1,0,1,0,cravehosting.com
0,57,0.0,0,9,0,0,2416,0,4,1,0,0,1,0,skreebee.com
0,56,0.0,0,3,0,0,3650,0,2,1,0,0,1,0,apneaboard.com
0,55,0.0,0,6,0,0,3650,0,2,1,0,0,1,0,ensemblehp.com
0,56,0.0,0,7,0,0,2039,0,2,1,1,0,1,0,olybet.lt
0,56,0.0,0,0,0,0,540,1,2,0,0,0,1,0,platinumbetworld.com
0,56,0.0,0,10,0,0,2543,0,4,1,0,0,1,0,wehelpsoftware.com
0,56,0.0,0,2,0,0,3650,0,2,1,0,0,1,0,www.bydgoszcz.pl
0,56,0.0,0,1,0,0,3650,0,5,1,0,0,1,0,rollingpin.com
0,57,0.0,0,6,0,0,3650,1,4,1,0,0,1,0,profiwh.cz
0,55,0.0,0,7,0,0,3650,1,2,1,0,0,1,0,kryssakuten.se
0,55,0.0,0,3,0,0,3650,0,3,1,0,0,1,0,aps.edu.pl
0,55,0.0,0,5,0,0,89,0,2,1,0,0,1,0,f-nova.com
0,56,0.0,0,2,0,0,3650,0,2,1,0,0,1,0,dcsmanage.com
0,57,0.0,0,4,0,0,2293,0,2,1,0,0,1,0,evidentlyai.com
0,57,0.0,0,10,0,0,3650,0,4,1,7,0,1,0,soldo.com
0,56,0.0,0,3,0,0,3650,0,2,1,0,0,1,0,accelrf.com
0,56,0.0,0,0,0,0,143,1,2,0,0,0,1,0,brightvipdaily.nl
1,54,0.0181818181818181,0,10,0,0,1254,0,2,1,0,0,1,0,elveesprings.com
0,56,0.0,0,2,0,0,3650,0,2,1,0,0,1,0,getreliable.com
